extension_name,loaded,installed
autocomplete,true,true
core_functions,true,true
icu,true,true
json,true,true
parquet,true,true
shell,true,true
spatial,false,true
aws,false,false
azure,false,false
delta,false,false
ducklake,false,false
encodings,false,false
excel,false,false
fts,false,false
httpfs,false,false
iceberg,false,false
inet,false,false
jemalloc,false,false
motherduck,false,false
mysql_scanner,false,false
postgres_scanner,false,false
sqlite_scanner,false,false
tpcds,false,false
tpch,false,false
ui,false,false
vss,false,false
